COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Afghanistan,Afghanistan,AFG,Asia,"5.806436754635019",High,"0.0","8.40085201706298","7.862882277474673","5.823122141008051","7.234168054929341","0.0"
Albania,Albania,ALB,Europe,"5.687297204788764",High,"5.89302633144601","4.276137240745972","7.204301766673257","8.764478937487901","4.103726374469519","0.0"
Algeria,Algeria,DZA,Africa,"6.145899822950739",High,"0.0","6.002148702885946","8.392360750014129","9.374227006949068","6.080293835587025","0.0"
Angola,Angola,AGO,Africa,"4.172858601780473",Medium-High,"0.0","3.37197700815822","4.075189089611261","8.742215515317731","4.105817908170677","0.0"
Argentina,Argentina,ARG,South America,"5.145792946839239",Medium-High,"2.40044222359371","5.662328716109435","6.274555843508622","8.33033366333426","4.757936020762587","0.0"
Armenia,Armenia,ARM,Asia,"3.981499536060419",Medium-High,"0.0","3.335998027032939","2.711810675597095","8.780335645264293","4.121870846523078","0.0"
Australia,Australia,AUS,Australia,"4.435585652015368",Medium-High,"2.603965888784948","5.394870910693881","6.137390645863547","5.257751871523564","3.240542315330459","3.169186663016531"
Austria,Austria,AUT,Europe,"3.458708245717958",Low-Medium,"0.0","0.0","0.0","9.194890909083792","4.235495686297504","0.0"
Azerbaijan,Azerbaijan,AZE,Asia,"4.893633208934371",Medium-High,"0.0","5.324353544335561","5.432449096999983","9.01322520118353","4.323650128265986","0.0"
Bahamas,Bahamas,BHS,North America,"2.790831557690459",Low-Medium,"0.0","0.0","0.0","2.984777019241707","0.0","8.432541884302353"
Bahrain,Bahrain,BHR,Asia,"5.659378440344822",High,"0.0","0.0","8.456865015273262","8.403976270516536","8.447420600655589","0.0"
Bangladesh,Bangladesh,BGD,Asia,"8.414467134505315",Extremely High,"8.48469642825942","9.36595069348101","7.459487989310362","9.212654601106392","9.386532340363274","4.093757080838743"
Belarus,Belarus,BLR,Europe,"4.792282338585553",Medium-High,"0.0","3.677052285641525","6.072856244738308","9.069297944280551","4.369209433836208","0.0"
Belgium,Belgium,BEL,Europe,"3.71389550532117",Medium-High,"2.960884249931141","3.547011209653854","5.252808222533277","5.231293851786077","4.167433184271439","0.0"
Belize,Belize,BLZ,North America,"5.214189962951033",Medium-High,"0.0","7.741553013415981","0.0","8.279506182492627","3.729426319636583","6.275227525063304"
Benin,Benin,BEN,Africa,"5.481272822228703",High,"1.139144611699525","5.093693768870707","4.014195075483415","8.997688286007598","7.927126009216115","0.0"
Bhutan,Bhutan,BTN,Asia,"5.026841571568278",Medium-High,"0.0","8.477956655471258","1.142801164585963","8.574316839071951","4.940153322619187","0.0"
Bolivia,Bolivia,BOL,South America,"5.064304597848691",Medium-High,"0.0","5.504122532921385","3.595164904464123","9.266395468753473","6.017817797090057","0.0"
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe,"3.997287436483002",Medium-High,"0.0","4.958985934928243","0.0","8.820295010115508","4.407161881842129","0.0"
Botswana,Botswana,BWA,Africa,"4.116885391391882",Medium-High,"0.0","2.341515407496803","8.314021887450647","6.049916802591602","3.473035044171307","0.0"
Brazil,Brazil,BRA,South America,"6.071978612326579",High,"5.427987200140578","6.26416063841096","5.084781961548885","9.6308230036544","5.114272369076103","0.0"
Brunei,Brunei,BRN,Asia,"2.976951902063721",Low-Medium,"1.508665611855633","1.519949820758139","0.0","8.484765303632935","1.411460824684072","0.0"
Bulgaria,Bulgaria,BGR,Europe,"3.576875630495121",Low-Medium,"0.0","0.789189358570804","1.291142397825244","8.968686910561058","4.288603546043601","0.0"
Burkina Faso,Burkina Faso,BFA,Africa,"6.10975375209798",High,"0.0","4.755661400962081","6.514523192598498","8.941370574692991","9.111144798331969","0.0"
Burundi,Burundi,BDI,Africa,"5.588588975995958",High,"0.0","7.990329322693281","0.0","8.54801104859161","8.525737237523872","0.0"
Cambodia,Cambodia,KHM,Asia,"5.851559843756117",High,"2.620967669450109","9.026833304572424","3.544573583584489","8.97434050121836","4.452112228284649","0.0"
Cameroon,Cameroon,CMR,Africa,"5.463371441264998",High,"3.265681616455565","5.429269686119564","0.544659127622927","9.092428570671812","8.039349663435166","0.0"
Canada,Canada,CAN,North America,"3.135313621102924",Low-Medium,"4.162447587060947","5.482325250782747","3.308095870880242","2.263654656410661","0.742697023566716","1.916455245929024"
Central African Republic,Central African Republic,CAF,Africa,"4.347868815007105",Medium-High,"0.0","7.114361703259321","0.0","8.390354707201594","4.695166176340693","0.0"
Chad,Chad,TCD,Africa,"4.956417971247963",Medium-High,"0.0","5.936041477399314","3.123324352873264","8.59464170267193","6.878687465003278","0.0"
Chile,Chile,CHL,South America,"4.66580689222652",Medium-High,"2.379939884397355","4.019566902283108","7.670325487287194","6.433371465748952","4.63676289274774","0.0"
China,China,CHN,Asia,"7.947636094205216",Extremely High,"6.799448957952916","6.903974676474466","8.13899842733612","9.469841150783354","8.98198125321722","5.791159377322307"
Colombia,Colombia,COL,South America,"5.733389965541609",High,"4.512950269078738","5.50797709317933","4.077687132169287","9.195735495227854","5.6652053737622","2.193574681381476"
Costa Rica,Costa Rica,CRI,North America,"4.317907919375561",Medium-High,"0.0","5.335477038297711","0.0","9.143140219706238","4.427671917015284","0.632244615145304"
Croatia,Croatia,HRV,Europe,"3.800693229805794",Medium-High,"0.0","3.454644828186083","0.0","8.974109946388602","4.310505129635589","0.0"
Cuba,Cuba,CUB,North America,"7.288386680062987",Extremely High,"0.0","7.640333613008077","8.83556003533041","8.96562118034689","2.72268909561807","9.135232094282893"
Cyprus,Cyprus,CYP,Asia,"3.120713077773391",Low-Medium,"0.0","0.0","8.713399122994154","0.0","3.989413889137349","0.0"
Czechia,Czechia,CZE,Europe,"3.591375110469787",Low-Medium,"0.0","0.0","1.12100671482788","9.161676863244905","4.343046854314657","0.0"
Côte d'Ivoire,Côte d'Ivoire,CIV,Africa,"4.237976487358854",Medium-High,"0.0","4.504901385674734","0.0","9.053262239356531","5.457957360604027","0.0"
